ID,Type,Typical,Name,ResultDiseaseID,CauseDiseaseID,RelatedDiseaseID,Description
8,Diagnosis,Yes,β2-adrenergic agonists,,,55,ex) bronchodilators; tocolytics
2,Diagnosis,No,Drospirenone,,,38,Oral contraceptive pill (an analog of the drug spironolactone)
5,Diagnosis,Yes,Recovery phase of AKI,154,,,
4,Diagnosis,No,Hereditary defect in red cell membrane transport,,,,
9,Finding,Yes,Post-lactic or ketoacidosis recovery,,,,
7,Diagnosis,Yes,Alcoholic ketoacidosis,202;12,,,
3,Diagnosis,Yes,Proglutamic acid (Acetaminophen ingestion),,,,
6,Diagnosis,No,Glycine irrigation: TURP or uterine surgery,,,201,
19,Diagnosis,No,Nasogastric suction,,,29,
14,Diagnosis,No,Adrenal hypoplasia congenita,,,,
16,Diagnosis,Yes,Type 1 RTA (distal),,,145;34,
20,Diagnosis,Yes,NaHCO3 infusion,,,,
11,Diagnosis,No,Hypotonic intravenous fluids,,,201,
18,Diagnosis,Yes,Ethylene glycol,,,,
12,Finding,Yes,Ketoacidosis,,87;17;7,,
13,Diagnosis,No,Amiloride,,,38,Potassium-sparing diuretics
17,Diagnosis,Yes,DKA,202;12,,,
23,Diagnosis,Yes,Recovery phase of acute tubular necrosis,240,,,
24,Diagnosis,No,Sickle cell disease,240,,,
30,Diagnosis,No,Acetazolamide,,,66,
28,Finding,Yes,Fever,,,,
29,Diagnosis,Yes,Vomiting,,,19,
22,Finding,No,Thrombocytosis,,,46,
31,Diagnosis,Yes,Cerebral salt wasting syndrome,,,,
26,Finding,Yes,Volume depletion,,,106,
39,Diagnosis,Yes,Cation exchange resins,,,,
43,Diagnosis,Yes,Nephrogenic Diabetes Insipidus,,,,
42,Diagnosis,Yes,PA (Primary aldosteronism),,,,
40,Diagnosis,No,Chloride diarrhea,178,,,
33,Diagnosis,Yes,G-CSF (WBC production),,,,
35,Diagnosis,Yes,Mannitol,,,,
41,Diagnosis,Yes,Postoperative,,,,
37,Diagnosis,Yes,Furosemide,,,181,Inhibiting the Na-K-2Cl cotransporter in the thick ascending limb of the loop of Henle
38,Diagnosis,Yes,Spironolactone,,,91;13;124;2,Potassium-sparing diuretics
36,Diagnosis,No,Thyrotoxic periodic paralysis,,,107,
34,Diagnosis,No,Ifosfamide,,,16,
48,Diagnosis,Yes,Theophylline,,,215,Downstream stimulation of Na/K-ATPase
46,Finding,Yes,Leukocytosis,,,22;150,
44,Diagnosis,Yes,RAS (Renal artery stenosis),,,,
54,Diagnosis,Yes,Total parenteral nutrition,,,,
53,Diagnosis,No,Medullary cystic disease,,,,
49,Diagnosis,No,11β-hydroxylase deficiency (CAH),,,,
45,Diagnosis,No,Ketoconazole,,,,Antifungal and antiglucocorticoid medication
51,Diagnosis,Yes,Cholestyramine,178,,,May causes bile acid diarrhea
57,Diagnosis,No,PHA type 1 (Pseudohypoaldosteronism type 1),,,,
63,Diagnosis,Yes,Nephrotic syndrome,,,,
64,Diagnosis,No,PHA type 2 (Pseudohypoaldosteronism type 2),,,,
60,Diagnosis,Yes,Acute alkali administration,,,,
55,Diagnosis,No,α-adrenergic antagonists,,,8,
66,Diagnosis,Yes,Type 2 RTA (proximal),125,,30;68,
61,Diagnosis,Yes,External pancreatic drainage,,,,
58,Diagnosis,Yes,Cardiac failure,,,,
73,Diagnosis,Yes,Salicylates ingestion,,,,
68,Diagnosis,No,Topiramate,,,66,
76,Finding,Yes,Hypothermia,,,,
67,Diagnosis,Yes,Central Diabetes Insipidus,,,,
78,Diagnosis,Yes,Diabetic nephropathy,,,,
77,Diagnosis,Yes,Excessive normal saline infusion,,,,
74,Diagnosis,Yes,Succinylcholine,,,,"High risk : Thermal trauma, Neuromuscular injury; Disuse atrophy; Mucositis; Prolonged immobilization"
71,Diagnosis,No,Pentamidine,,,231,Antibiotics
72,Finding,Yes,Lactic acidosis,,264,,
69,Diagnosis,No,HIV,,,,
86,Diagnosis,Yes,NMDA,,,,
87,Diagnosis,Yes,Starvation,202;12,,,
89,Diagnosis,Yes,Heat exposure,,,,
97,Diagnosis,No,FH-1(Familial hyperaldosteronism type 1),,,,
100,Diagnosis,No,Renal transplant,240,,,
93,Diagnosis,Yes,Exercise,,,,
91,Diagnosis,No,Eplerenone,,,38,Potassium-sparing diuretics
96,Diagnosis,Yes,Radiocontrast,,,,
98,Diagnosis,Yes,Osmotic diarrhea,178,,,
104,Diagnosis,No,Polyglandular endocrinopathy,,,,
108,Diagnosis,Yes,Penicillins,,,,
107,Diagnosis,Yes,Hyperthyroidism,,,36,
101,Diagnosis,Yes,Reflux nephropathy,,,,
106,Finding,Yes,Hypovolemia,,,26,
110,Finding,Yes,Post-hypercapnia,,,,
105,Finding,Yes,Metabolic alkalosis,125,,,
112,Diagnosis,Yes,Mg sulfate,178,,,May cause osmotic diarrhea
119,Diagnosis,Yes,Metabolic acidosis (non-organic),,,,
113,Diagnosis,Yes,Viral gastroenteritis,178,,,
123,Diagnosis,No,Aliskiren,,,143,
120,Diagnosis,No,ARBs (Angiotensin II Receptor Blockers),,,143,
121,Diagnosis,No,COX-2 inhibitor,,,236,
116,Diagnosis,Yes,CKD,,,,
118,Diagnosis,No,CMV,,,,
124,Diagnosis,No,Triamterene,,,38,Potassium-sparing diuretics
115,Diagnosis,Yes,Urinary tract obstruction,240,,,
128,Diagnosis,Yes,Rapid tumor lysis,,,,
134,Diagnosis,No,Gastrocystoplasty,,,,
131,Diagnosis,No,Uterosigmoidostomy or jejunal loop or ileal loop,178,,,
127,Diagnosis,No,Adrenal hemorrhage or infarction,,,,
126,Diagnosis,Yes,Trauma,,,,
125,Finding,Yes,Bicarbonaturia,,66;105,,
129,Diagnosis,Yes,Hypothyroidism,,,,
132,Diagnosis,Yes,Barium intoxication,,,,
137,Diagnosis,No,17α-hydroxylase deficiency (CAH),,,,
144,Diagnosis,Yes,Thiazide,,,170,Inhibiting the Na-Cl cotransporter in the distal convoluted tubule of the kidney.
140,Diagnosis,No,SLE (Systemic Lupus Erythematosus),240,,,
136,Diagnosis,Yes,External small bowel drainage,178,,,
143,Diagnosis,Yes,ACEi (Angiotensin-Converting Enzyme inhibitor),,,123;120,
139,Diagnosis,No,Disseminated fungal infection,,,,
145,Diagnosis,No,Amphotericin B,,,16,
138,Diagnosis,Yes,Burns,,,,
147,Diagnosis,Yes,Heparin / LMW heparin,,,,
142,Finding,Yes,Potassium depletion,,,,
141,Diagnosis,Yes,Malignant HTN,,,,
153,Finding,Yes,Glycosuria,,,,
154,Finding,Yes,Urea diuresis (Uremia),,5,,
152,Diagnosis,Yes,Hypertonic fluids,,,,
158,Diagnosis,Yes,Hypertonic dextrose,,,,
155,Diagnosis,Yes,Methanol,,,,
150,Finding,No,Erythrocytosis,,,46,
151,Diagnosis,Yes,Cushing’s syndrome,,,,
159,Finding,Yes,Mg deficiency,,,,
156,Diagnosis,Yes,Arginine or lysine,,,249,
170,Diagnosis,Yes,Gitelman syndrome,,,144,Mutations involving the Na-Cl cotransporter in the distal convoluted tubule of the kidney.
163,Diagnosis,Yes,Hippurate (Toluene inhalant),,,,
165,Diagnosis,Yes,Calcium chloride,,,,
167,Diagnosis,Yes,Malnutrition,,,,
162,Diagnosis,No,SAME (Syndrome of apparent mineralocorticoid excess),,,,
181,Diagnosis,Yes,Batter syndrome,,,37,Mutations involving the Na-K-2Cl cotransporter in the thick ascending limb of the loop of Henle
175,Diagnosis,No,Congenital lipoid adrenal hyperplasia,,,,
178,Diagnosis,Yes,Diarrhea,,197;98;113;40;112;51;136;131;246,,
180,Diagnosis,No,Malignancy,,,,
176,Diagnosis,Yes,In vitro hemolysis,,,,
174,Diagnosis,Yes,Addison’s disease,,,,
183,Diagnosis,No,Tuberculosis,,,,
179,Diagnosis,Yes,Mechanical ventilation,,,,
182,Diagnosis,Yes,Remote vomiting,,,193,
186,Diagnosis,No,Amyloidosis,240,,,
184,Diagnosis,No,Aldosterone synthase deficiency,,,,
193,Diagnosis,No,Remote stomach drainage,,,182,
194,Diagnosis,No,Chewer’s tobacco,,,,
185,Diagnosis,No,Licorice,,,204,
190,Diagnosis,Yes,Vitamin B12 or Folic acid administration (RBC production),,,,
192,Diagnosis,Yes,AKI,,,,
195,Diagnosis,Yes,Milk-alkali syndrome,,,,
191,Diagnosis,Yes,Digoxin toxicity,,,,
196,Diagnosis,Yes,Pancreatitis,,,,
187,Diagnosis,Yes,Paraproteinemia,,,,
198,Finding,Yes,Comatose status,,,,
206,Diagnosis,No,Acid load,,,,
197,Diagnosis,No,Colonoscopy preparation,178,,,
203,Diagnosis,No,Liddle’s syndrome,,,,
204,Diagnosis,No,Carbenoxolone,,,185,A steroid-like structure and similar to substances found in the root of the licorice plant.
201,Diagnosis,Yes,Primary polydipsia,,,11;6,
199,Diagnosis,Yes,RST (Renin-secreting tumor),,,,
202,Finding,Yes,Ketonuria,,87;17;7,,
211,Diagnosis,Yes,Acute Glomerulonephritis,,,,
214,Diagnosis,No,Nefamostat,,,,
216,Diagnosis,No,FHPP (Familial hypokalemic periodic paralysis),,,,
212,Finding,Yes,Hyperglycemia,,,,
213,Diagnosis,No,21-hydroxylase deficiency (CAH),,,,
215,Diagnosis,No,Chloroquine,,,48,Downstream stimulation of Na/K-ATPase
218,Diagnosis,Yes,β-blockers,,226,,
230,Diagnosis,Yes,Remote diuretic use,,,,
227,Diagnosis,No,Hyperkalemic periodic paralysis ,,,,Genetic disease
231,Diagnosis,Yes,Trimethoprim,,,71,Antibiotics
225,Diagnosis,Yes,Increased β2-adrenergic sympathetic activity,,,,ex) post-myocardial infarction; head injury
226,Diagnosis,Yes,Nonselective β-blockers,218,,,
223,Diagnosis,No,Metastatic cancer,,,,
232,Diagnosis,Yes,SIAD (Syndrome of Inappropriate Antidiuresis),,,,
228,Diagnosis,Yes,Estrogen therapy,,,,
221,Diagnosis,Yes,Propylene glycol,,,,
240,Diagnosis,Yes,Tuboinstitial nephropathy,,140;24;115;186;100;23,,
234,Diagnosis,Yes,Post-obstructive diuresis,,,,
241,Finding,Yes,Hyperlipidemia,,,,
236,Diagnosis,Yes,NSAIDs,,,121,
238,Diagnosis,Yes,Calcineurin inhibitors,,,,(ex) cyclosporine; tacrolimus)
239,Diagnosis,Yes,Cirrhosis,265,,,
235,Diagnosis,Yes,Profuse sweating,,,,
242,Finding,Yes,Hypercalcemia/hypoparathyroidism,,,,
245,Diagnosis,No,Secondary adrenal insufficiency,,,,
246,Diagnosis,No,Secretory diarrhea,178,,,
247,Diagnosis,Yes,Insulin excess,,,,
249,Diagnosis,Yes,ε-aminocaproic acid,,,156,Anti-fibrinolysis
250,Finding,Yes,Pain,,,,
251,Diagnosis,Yes,Stroke,,,,
252,Finding,Yes,Anxiety,,,,
253,Diagnosis,No,Meningitis  or Encephalitis,,,,
254,Finding,No,Tumor,,,,
255,Diagnosis,No,High altitude,,,,
256,Diagnosis,No,Pneumonia,,,,
257,Finding,No,Pulmonary edema,,,,
258,Finding,No,Aspiration,,,,
259,Finding,No,Severe anemia,,,,
260,Diagnosis,No,Pregnancy; progesterone,,,,
261,Finding,No,Hemothorax,,,,
262,Diagnosis,No,Flail chest,,,,
263,Diagnosis,No,Pulmonary embolism,,,,
264,Finding,Yes,Sepsis,72,,,
265,Finding,Yes,Hepatic failure,,239,,
267,Finding,Yes,Recovery from metabolic acidosis,,,,
268,Diagnosis,Yes,Sedatives,,,,
269,Finding,Yes,Airway obstruction,,,,
270,Diagnosis,Yes,Asthma,,,,
272,Diagnosis,Yes,Obesity,,,,
273,Finding,Yes,Hypoventilation,,,,
274,Diagnosis,Yes,Emphysema,,,,
275,Diagnosis,Yes,Bronchitis,,,,
276,Diagnosis,Yes,Pneumoconiosis,,,,
277,Finding,Yes,Acute respiratory distress syndrome,,,,
278,Finding,Yes,Barotrauma,,,,
279,Diagnosis,No,Poliomyelitis,,,,
280,Finding,Yes,Kyphoscoliosis,,,,
281,Diagnosis,Yes,Myasthenia,,,,
282,Diagnosis,No,Muscular dystrophies,,,,
283,Diagnosis,No,Villous adenoma,,,,